"name","gps","datetime","no2","o3_1hr","o3_4hr","o3_8hr","co","pm10_1_hr","pm2_5_1_hr","pm10","pm2_5","aqi_co","aqi_no2","aqi_o3_1hr","aqi_o3_4hr","aqi_o3_8hr","aqi_pm10","aqi_pm2_5","aqi_site","date","time"
"Monash","
,  
(-35.418302, 149.094018)","2024-03-18T16:00:00.000",,,,"0.019",,"8.5","2.1","3.6","2.0",,,,,,"7","7",,"2024-03-18T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2024-02-22T16:00:00.000",,,,"0.024",,"0.0","0.0","5.6","2.4",,,,,,"11","9",,"2024-02-22T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2024-02-15T16:00:00.000",,,,"0.016",,"9.4",,"5.6","4.1",,,,,,"11","16",,"2024-02-15T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2024-02-10T16:00:00.000",,,,"0.018",,"5.4","4.1","9.4","5.9",,,,,,"18","23",,"2024-02-10T00:00:00.000","16:00"
"Florey","
,  
(-35.220606, 149.043539)","2024-01-15T16:00:00.000",,,,"0.017",,"2.6","1.4","6.3","3.6",,,,,,"12","14","14","2024-01-15T00:00:00.000","16:00"
"Florey","
,  
(-35.220606, 149.0435)","2023-08-25T13:00:00.000",,,,,,,,"7.8","6.9",,,,,,"16","28","28","2023-08-25T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2023-01-18T05:00:00.000",,,,,,,,"10.5","3.3",,,,,,"21","13","21","2023-01-18T00:00:00.000","05:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-09-19T21:00:00.000",,"0.013","0.016","0.020",,"13.2","5.5","5.0","4.1",,,"13","20","30","10","16","30","2022-09-19T00:00:00.000","21:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-09-06T17:00:00.000",,,,,,"6.4","0.8","6.5","2.5",,,,,,"13","10","13","2022-09-06T00:00:00.000","17:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-09-04T16:00:00.000",,,"0.028","0.028",,"3.2","1.0","4.9","2.9",,,,"35","42","10","12","42","2022-09-04T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-07-02T10:00:00.000",,"0.023","0.024","0.024",,"-1.0","1.5","3.0","5.0",,,"23","30","37","6","20","37","2022-07-02T00:00:00.000","10:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-06-14T16:00:00.000",,,"0.014","0.013",,"6.9","3.0","6.4","5.2",,,,"18","20","13","21","21","2022-06-14T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-06-11T16:00:00.000",,,"0.022","0.021",,"6.8","0.6","4.0","3.5",,,,"28","32","8","14","32","2022-06-11T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-06-05T21:00:00.000",,"0.018","0.018","0.019",,"1.9","2.0","2.3","1.6",,,"18","23","29","5","6","29","2022-06-05T00:00:00.000","21:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-06-02T22:00:00.000",,,,,,,,,,,,,,,,,"0","2022-06-02T00:00:00.000","22:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-05-19T06:00:00.000",,"0.004","0.007","0.012",,"7.7","5.8","5.6","3.8",,,"4","9","18","11","15","18","2022-05-19T00:00:00.000","06:00"
"Monash","
,  
(-35.418302, 149.094018)","2022-05-05T13:00:00.000",,,,,,,,,,,,,,,,,"0","2022-05-05T00:00:00.000","13:00"
"Monash","
,  
(-35.418302, 149.094018)","2022-04-27T16:00:00.000",,,"0.018","0.016",,"5.5","0.2","4.4","2.4",,,,"23","24","9","10","24","2022-04-27T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-23T21:00:00.000",,"0.008","0.011","0.016",,"1.3","5.5","4.9","3.6",,,"8","13","24","10","14","24","2022-04-23T00:00:00.000","21:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-19T16:00:00.000",,,"0.018","0.013",,"2.9","2.0","10.7","6.9",,,,"22","20","21","28","28","2022-04-19T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2022-04-18T16:00:00.000",,,"0.025","0.021",,"5.4","2.8","15.8","12.6",,,,"31","32","32","51","51","2022-04-18T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-18T06:00:00.000",,"0.003","0.004","0.003",,"14.0","7.1","12.0","7.3",,,"3","5","5","24","29","29","2022-04-18T00:00:00.000","06:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-15T09:00:00.000",,"0.009","0.010","0.007",,"5.0","2.3","6.4","4.9",,,"9","12","11","13","20","20","2022-04-15T00:00:00.000","09:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-14T04:00:00.000",,"0.006","0.008","0.009",,"6.4","0.7","7.0","3.2",,,"6","10","14","14","13","14","2022-04-14T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-13T11:00:00.000",,"0.018","0.013","0.014",,"7.0","3.2","7.4","2.7",,,"18","16","21","15","11","21","2022-04-13T00:00:00.000","11:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-12T16:00:00.000",,,"0.022","0.018",,"6.2","1.6","7.8","2.6",,,,"28","28","16","10","28","2022-04-12T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-08T03:00:00.000",,"0.021","0.020","0.019",,"2.8","-0.8","2.5","3.0",,,"21","25","29","5","12","29","2022-04-08T00:00:00.000","03:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-04-07T16:00:00.000",,,"0.015","0.015",,"5.7","4.0","2.5","3.6",,,,"19","24","5","14","24","2022-04-07T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-03-15T16:00:00.000",,,"0.020","0.018",,"9.6","0.4","6.0","2.1",,,,"25","28","12","8","28","2022-03-15T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-03-06T10:00:00.000",,"0.023","0.022","0.022",,"1.7","0.6","4.5","1.2",,,"23","28","34","9","5","34","2022-03-06T00:00:00.000","10:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-02-02T12:00:00.000",,"0.016","0.013","0.013",,"9.0","7.5","10.0","4.2",,,"16","17","19","20","17","20","2022-02-02T00:00:00.000","12:00"
"Florey","
,  
(-35.220606, 149.0435)","2022-01-26T13:00:00.000",,,,,,,,,,,,,,,,,"0","2022-01-26T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-01-25T13:00:00.000",,"0.033","0.026","0.019",,"6.2","3.0","6.0","1.8",,,"33","32","29","12","7","29","2022-01-25T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-01-24T04:00:00.000",,"0.010","0.009","0.011",,"3.9","-0.5","3.4","2.0",,,"10","11","17","7","8","17","2022-01-24T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-01-21T16:00:00.000",,,"0.014","0.013",,"5.8","1.4","10.5","2.6",,,,"18","21","21","10","21","2022-01-21T00:00:00.000","16:00"
