"name","gps","datetime","no2","o3_1hr","o3_4hr","o3_8hr","co","pm10_1_hr","pm2_5_1_hr","pm10","pm2_5","aqi_co","aqi_no2","aqi_o3_1hr","aqi_o3_4hr","aqi_o3_8hr","aqi_pm10","aqi_pm2_5","aqi_site","date","time"
"Civic","
,  
(-35.285399, 149.131536)","2022-01-16T16:00:00.000",,,"0.031","0.030",,"15.0","2.5","12.3","6.4",,,,"39","47","25","26","47","2022-01-16T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2022-01-08T07:00:00.000",,"0.020","0.013","0.012",,"1.8","1.3","4.3","0.8",,,"20","16","18","9","3","18","2022-01-08T00:00:00.000","07:00"
"Florey","
,  
(-35.220606, 149.0435)","2022-01-07T19:00:00.000","0.005","0.018","0.020","0.020",,"6.3","-5.2","4.8","1.5",,"6","18","25",,"10","6","30","2022-01-07T00:00:00.000","19:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-12-29T17:00:00.000",,"0.024","0.028","0.026",,"5.4","1.1","5.6","2.4",,,"24","35","40","11","10","40","2021-12-29T00:00:00.000","17:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-12-25T12:00:00.000",,"0.034","0.033","0.026",,"40.1","0.2","10.6","4.0",,,"34","41","41","21","16","41","2021-12-25T00:00:00.000","12:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-12-16T11:00:00.000",,"0.032","0.026","0.019",,"22.6","5.0","14.0","4.6",,,"32","32","30","28","18","30","2021-12-16T00:00:00.000","11:00"
"Monash","
,  
(-35.418302, 149.094018)","2021-12-15T01:00:00.000","0.002","0.006","0.005","0.012","0.04","10.6","2.6","10.0",,"0","3","6","6","18","20",,"20","2021-12-15T00:00:00.000","01:00"
"Monash","
,  
(-35.418302, 149.094018)","2021-12-13T16:00:00.000",,,"0.025","0.018","0.00","11.0",,"9.3","6.1","0",,,"31","27","19","24","27","2021-12-13T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2021-12-09T16:00:00.000",,,"0.025","0.021","0.00","3.4","3.0","1.6","2.3","0",,,"32","32","3","9","32","2021-12-09T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-12-07T16:00:00.000",,,"0.026","0.023",,"11.4","3.0","8.5","5.5",,,,"33","36","17","22","36","2021-12-07T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2021-11-21T16:00:00.000",,,"0.023","0.022","0.00","1.5","-0.1","1.4","0.7","0",,,"28","34","3","3","34","2021-11-21T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2021-11-20T16:00:00.000",,,"0.022","0.022","0.01","2.3","0.2","3.9","3.5","0",,,"27","34","8","14","34","2021-11-20T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-11-19T19:00:00.000",,"0.027","0.027","0.026",,"1.2","7.4",,"5.4",,,"27","33","40",,"22","40","2021-11-19T00:00:00.000","19:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-11-17T23:00:00.000",,,,,,,"11.7",,"3.6",,,,,,,"15","15","2021-11-17T00:00:00.000","23:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-11-15T16:00:00.000",,,"0.018","0.017",,,"3.0",,"1.2",,,,"23","27",,"5","27","2021-11-15T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-11-13T01:00:00.000",,"0.017","0.017","0.017",,,"0.2",,"1.5",,,"17","21","26",,"6","26","2021-11-13T00:00:00.000","01:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-11-05T16:00:00.000",,,,"0.021",,,"-0.6",,"1.4",,,,,"32",,"6","32","2021-11-05T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-29T16:00:00.000",,,"0.032","0.030",,"22.0","3.0","21.6","6.2",,,,"40","47","43","25","47","2021-10-29T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-24T00:00:00.000",,"0.027","0.028","0.031",,"7.1","2.3","11.0","3.9",,,"27","35","47","22","16","47","2021-10-24T00:00:00.000","00:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-23T13:00:00.000",,"0.034","0.033","0.022",,"12.3","0.2","9.6","3.3",,,"34","41","34","19","13","34","2021-10-23T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-22T04:00:00.000",,"0.027","0.029","0.029",,"4.1","3.3","4.8","3.2",,,"27","36","45","10","13","45","2021-10-22T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-16T16:00:00.000",,,"0.026","0.024",,"5.9","1.6","3.5","1.9",,,,"33","37","7","8","37","2021-10-16T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-10-09T07:00:00.000",,"0.007","0.006","0.006",,"14.0","7.2","11.9","6.3",,,"7","7","9","24","25","25","2021-10-09T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-09-28T22:00:00.000",,"0.017","0.019","0.024",,"10.0","6.2","12.6","6.9",,,"17","24","36","25","28","36","2021-09-28T00:00:00.000","22:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-09-27T07:00:00.000",,"0.007","0.011","0.015",,"8.1","4.2","6.0","3.4",,,"7","14","23","12","14","23","2021-09-27T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-02-22T09:00:00.000",,"0.008","0.005","0.006",,"13.2","7.0","9.0","2.9",,,"8","6","9","18","12","18","2021-02-22T00:00:00.000","09:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-02-21T02:00:00.000",,"0.015","0.020","0.021",,"8.6","7.0","12.0","4.6",,,"15","25","32","24","18","32","2021-02-21T00:00:00.000","02:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-02-16T17:00:00.000",,"0.014","0.014","0.014",,"4.0","0.7","4.6","2.1",,,"14","17","21","9","8","21","2021-02-16T00:00:00.000","17:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-01-29T16:00:00.000",,,"0.011","0.008",,"1.1","0.0","1.3","1.6",,,,"14","13","3","6","13","2021-01-29T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-01-28T07:00:00.000",,"0.009","0.011","0.012",,"2.4","0.1","3.9","0.8",,,"9","14","19","8","3","19","2021-01-28T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-01-14T04:00:00.000",,"0.011","0.016","0.019",,"8.0","4.3","13.0","6.7",,,"11","20","30","26","27","30","2021-01-14T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-01-11T18:00:00.000",,"0.026","0.027","0.027",,"6.0","2.3","7.6","3.2",,,"26","34","42","15","13","42","2021-01-11T00:00:00.000","18:00"
"Civic","
,  
(-35.285399, 149.131536)","2021-01-02T19:00:00.000",,"0.014","0.014","0.016",,"1.2","2.6","3.0","1.7",,,"14","18","24","6","7","24","2021-01-02T00:00:00.000","19:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-31T23:00:00.000",,"0.017","0.017","0.016",,"4.2","1.3","2.8","2.5",,,"17","21",,"6","10","21","2020-12-31T00:00:00.000","23:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-26T23:00:00.000",,"0.023","0.024","0.025",,"6.9","9.5","4.5","5.5",,,"23","30",,"9","22","30","2020-12-26T00:00:00.000","23:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-25T03:00:00.000",,"0.016","0.017","0.017",,"3.0","2.4","7.0","3.5",,,"16","21",,"14","14","21","2020-12-25T00:00:00.000","03:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-23T02:00:00.000",,"0.017","0.020","0.024",,"-4.2","0.4","5.3","0.3",,,"17","24",,"11","1","24","2020-12-23T00:00:00.000","02:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-21T23:00:00.000",,"0.025","0.021","0.022",,"5.5","3.4","6.6","3.9",,,"25","26",,"13","16","26","2020-12-21T00:00:00.000","23:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-21T16:00:00.000",,,"0.029","0.025",,"17.7","1.9","7.4","4.7",,,,"36",,"15","19","36","2020-12-21T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-09T16:00:00.000",,,"0.023","0.022",,"9.5","4.2","11.0","4.2",,,,"29",,"22","17","29","2020-12-09T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-12-07T03:00:00.000",,"0.022","0.023","0.024",,"14.7","2.3","16.8","5.0",,,"22","28",,"34","20","34","2020-12-07T00:00:00.000","03:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-12-02T16:00:00.000",,,"0.031","0.029","0.11","46.7","-1.1","20.0","5.3","1",,,"39",,"40","21","45","2020-12-02T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2020-11-30T17:00:00.000","0.000","0.030","0.029","0.026","0.02","22.1","0.1","12.7","1.5","0","0","30","36","40","25","6","36","2020-11-30T00:00:00.000","17:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-11-23T16:00:00.000",,,"0.029","0.027",,"1.4","0.1","8.5","4.0",,,,"36",,"17","16","36","2020-11-23T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-11-18T14:00:00.000",,"0.031","0.031","0.025",,"8.0","3.3","11.1","4.5",,,"31","38",,"22","18","38","2020-11-18T00:00:00.000","14:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-11-15T18:00:00.000",,"0.031","0.029","0.028",,"11.9","4.3","8.1","4.0",,,"31","36",,"16","16","36","2020-11-15T00:00:00.000","18:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-11-14T16:00:00.000",,,"0.026","0.023",,"8.3","2.8","8.8","2.6",,,,"32",,"18","11","32","2020-11-14T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-11-08T08:00:00.000",,"0.019","0.016","0.016",,"7.4","1.7","11.2","3.4",,,"19","19",,"22","14","22","2020-11-08T00:00:00.000","08:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-31T07:00:00.000",,"0.021","0.022","0.022",,"2.3","1.8","3.5","2.0",,,"21","27",,"7","8","27","2020-10-31T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-30T16:00:00.000",,,"0.025","0.023",,"4.0","2.0","4.2","2.8",,,,"31",,"8","11","31","2020-10-30T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-28T09:00:00.000",,"0.018","0.012","0.013",,"2.4","2.9","2.0","2.3",,,"18","15",,"4","9","18","2020-10-28T00:00:00.000","09:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-27T05:00:00.000",,"0.023","0.023","0.023",,"0.7","1.8","3.6","1.5",,,"23","28",,"7","6","28","2020-10-27T00:00:00.000","05:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-25T05:00:00.000",,"0.018","0.019","0.019",,"-0.8","1.7","7.6","2.6",,,"18","24",,"15","10","24","2020-10-25T00:00:00.000","05:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-24T16:00:00.000",,,"0.032","0.029",,"7.7","3.7","4.8","4.0",,,,"40",,"10","16","40","2020-10-24T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-12T11:00:00.000",,"0.026","0.023","0.021",,"11.2","5.9","4.4","4.0",,,"26","29",,"9","16","29","2020-10-12T00:00:00.000","11:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-11T16:00:00.000",,,"0.027","0.023",,"5.7","1.0","8.1","6.0",,,,"34",,"16","24","34","2020-10-11T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2020-10-10T16:00:00.000",,,"0.029","0.028","0.00","7.7","2.3","4.8","2.2","0",,,"37","44","10","9","37","2020-10-10T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-09T18:00:00.000",,"0.018","0.019","0.020",,"5.7","7.0","2.9","1.0",,,"18","24",,"6","4","24","2020-10-09T00:00:00.000","18:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-10-02T16:00:00.000",,,"0.023","0.019",,"11.6","5.9","12.8","7.4",,,,"29",,"26","30","30","2020-10-02T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-09-21T21:00:00.000",,"0.018","0.021","0.024",,"3.8","6.1","6.0","3.0",,,"18","26",,"12","12","26","2020-09-21T00:00:00.000","21:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-09-16T16:00:00.000",,,"0.031","0.024",,"27.4","0.7","14.8","5.3",,,,"39",,"30","21","39","2020-09-16T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-09-06T16:00:00.000",,,"0.029","0.024",,"7.9","3.1","11.8","6.3",,,,"37",,"24","25","37","2020-09-06T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-27T12:00:00.000",,"0.009","0.007","0.005",,"4.8","9.7","8.0","6.6",,,"9","9",,"16","27","27","2020-08-27T00:00:00.000","12:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-23T13:00:00.000",,"0.024","0.025","0.025",,"-0.3","1.2","1.1","0.7",,,"24","31",,"2","3","31","2020-08-23T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-20T15:00:00.000",,"0.022","0.024","0.022",,"1.2","2.9","0.9","1.7",,,"22","30",,"2","7","30","2020-08-20T00:00:00.000","15:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-19T16:00:00.000",,,"0.022","0.019",,"5.5","2.8","8.7","2.9",,,,"27",,"17","12","27","2020-08-19T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2020-08-10T16:00:00.000",,,"0.033","0.033",,"1.8","1.2","5.1","2.7",,,,"41","51","10","11","41","2020-08-10T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-09T16:00:00.000",,,"0.028","0.029",,"7.7","0.2","3.1","2.0",,,,"35",,"6","8","35","2020-08-09T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-08-06T16:00:00.000",,,"0.022","0.016",,"11.1","4.9","8.5","4.4",,,,"27",,"17","18","27","2020-08-06T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-07-30T04:00:00.000",,"0.006","0.003","0.002",,,"9.7",,"6.7",,,"6","3",,,"27","27","2020-07-30T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-07-29T15:00:00.000",,"0.020","0.019","0.012",,"1.8","3.6","8.6","4.7",,,"20","23",,"17","19","23","2020-07-29T00:00:00.000","15:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-06-11T21:00:00.000","0.011",,,,"0.27","20.4","16.9","22.5","19.0","3","14",,,,"45","76","76","2020-06-11T00:00:00.000","21:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-06-10T11:00:00.000","0.010",,,,"0.69","3.7","1.5","20.1","16.8","8","12",,,,"40","67","67","2020-06-10T00:00:00.000","11:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-06-06T16:00:00.000",,,"0.021","0.014",,"5.5","3.2","14.6","9.3",,,,"26",,"29","37","37","2020-06-06T00:00:00.000","16:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-06-04T16:00:00.000",,,,,"0.17",,"5.7","14.4","9.3","2",,,,,"29","37","37","2020-06-04T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-06-01T16:00:00.000",,,"0.022","0.019",,"4.4","1.3","6.5","3.2",,,,"27",,"13","13","27","2020-06-01T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-05-31T16:00:00.000",,,"0.024","0.020",,"9.7","1.5","17.2","12.2",,,,"30",,"34","49","49","2020-05-31T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-05-28T16:00:00.000",,,"0.012","0.007",,"7.1","6.0","13.4","8.0",,,,"15",,"27","32","32","2020-05-28T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-05-26T16:00:00.000",,,"0.022","0.022",,"9.0","1.6","3.9","2.3",,,,"28",,"8","9","28","2020-05-26T00:00:00.000","16:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-05-25T11:00:00.000","0.000","0.028","0.026",,,"4.9","0.4",,,,"0","28","33",,,,"0","2020-05-25T00:00:00.000","11:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-05-24T16:00:00.000",,,,,,,,,,,,,,,,,"0","2020-05-24T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-05-20T09:00:00.000",,"0.006","0.003","0.003",,"10.8","9.2","10.2","6.1",,,"6","4",,"20","24","24","2020-05-20T00:00:00.000","09:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-05-19T06:00:00.000",,"0.002","0.002","0.002",,"7.2","4.8","5.9","4.7",,,"2","2",,"12","19","19","2020-05-19T00:00:00.000","06:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-04-30T11:00:00.000",,"0.014","0.013","0.017",,"4.3","3.2","4.2","2.3",,,"14","17",,"8","9","17","2020-04-30T00:00:00.000","11:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-04-14T21:00:00.000",,"0.001","0.003","0.009",,"23.1","12.2","11.7","9.7",,,"1","4",,"23","39","39","2020-04-14T00:00:00.000","21:00"
"Florey","
,  
(-35.220606, 149.0435)","2020-04-11T16:00:00.000",,,"0.020","0.019","0.09","7.5","4.8","4.9","0.5","1",,,"25",,"10","2","29","2020-04-11T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-04-05T07:00:00.000",,"0.020","0.019","0.020",,"8.0","1.1","7.4","1.0",,,"20","24",,"15","4","24","2020-04-05T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-04-02T16:00:00.000",,,"0.016","0.015",,,"2.6",,"10.0",,,,"20",,,"40","40","2020-04-02T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-03-14T16:00:00.000",,,"0.022","0.020",,"10.6","0.9","11.8","4.1",,,,"28",,"24","16","28","2020-03-14T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-03-08T16:00:00.000",,,"0.020","0.019",,"5.6","0.2","5.0","1.2",,,,"25",,"10","5","25","2020-03-08T00:00:00.000","16:00"
"Monash","
,  
(-35.418302, 149.094018)","2020-02-17T02:00:00.000","0.000","0.016","0.013","0.015","0.00","2.3","0.7","2.2","1.7","0","0","16","17","22","4","7","17","2020-02-17T00:00:00.000","02:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-02-10T16:00:00.000",,,"0.028","0.023",,"7.7","2.7","1.8","2.6",,,,"35",,"4","11","35","2020-02-10T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-02-02T01:00:00.000",,"0.005","0.009","0.023",,"131.0","40.3","118.1","22.1",,,"5","11",,"236","88","236","2020-02-02T00:00:00.000","01:00"
"Civic","
,  
(-35.285399, 149.131536)","2020-01-03T04:00:00.000",,"0.018","0.017","0.016",,"163.2",,"394.9",,,,"18","21",,"790",,"790","2020-01-03T00:00:00.000","04:00"
"Civic","
,  
(-35.285399, 149.131536)","2019-12-24T17:00:00.000",,"0.055","0.055","0.052",,"108.7","89.4","142.0","108.3",,,"55","68",,"284","433","433","2019-12-24T00:00:00.000","17:00"
"Civic","
,  
(-35.285399, 149.131536)","2019-12-13T13:00:00.000",,"0.040","0.034","0.027",,"56.0","52.3","60.3","47.9",,,"40","42",,"121","192","192","2019-12-13T00:00:00.000","13:00"
"Civic","
,  
(-35.285399, 149.131536)","2019-12-08T07:00:00.000",,"0.024","0.019","0.020",,"38.1","28.5","59.4","46.9",,,"24","24",,"119","188","188","2019-12-08T00:00:00.000","07:00"
"Civic","
,  
(-35.285399, 149.131536)","2019-12-03T16:00:00.000",,,"0.026","0.024",,"9.7","2.5","9.5","3.6",,,,"33",,"19","14","33","2019-12-03T00:00:00.000","16:00"
"Civic","
,  
(-35.285399, 149.131536)","2019-11-26T19:00:00.000",,"0.029","0.029","0.029",,"14.8","-0.9","85.7","16.0",,,"29","37",,"171","64","171","2019-11-26T00:00:00.000","19:00"
